university_id,university_name,old_name,university_type,city
"208","BATMAN ÜNİVERSİTESİ","","devlet","BATMAN"
"279","BAYBURT ÜNİVERSİTESİ","","devlet","BAYBURT"
"101","BEYKOZ ÜNİVERSİTESİ","","vakif","İSTANBUL"
"113","BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ","","vakif","İSTANBUL"
"173","BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ","","devlet","BİLECİK"
"363","BİNGÖL ÜNİVERSİTESİ","","devlet","BİNGÖL"
"262","BİRUNİ ÜNİVERSİTESİ","","vakif","İSTANBUL"
"295","BİTLİS EREN ÜNİVERSİTESİ","","devlet","BİTLİS"
"310","BOĞAZİÇİ ÜNİVERSİTESİ","","devlet","İSTANBUL"
"396","BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ","","devlet","BOLU"
"226","BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ","","devlet","BURDUR"
"368","BURSA TEKNİK ÜNİVERSİTESİ","","devlet","BURSA"
"250","BURSA ULUDAĞ ÜNİVERSİTESİ","","devlet","BURSA"
"157","ÇAĞ ÜNİVERSİTESİ","","vakif","MERSİN"
"138","ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","","devlet","ÇANAKKALE"
"155","ÇANKAYA ÜNİVERSİTESİ","","vakif","ANKARA"
"303","ÇANKIRI KARATEKİN ÜNİVERSİTESİ","","devlet","ÇANKIRI"
"297","ÇUKUROVA ÜNİVERSİTESİ","","devlet","ADANA"
"130","DEMİROĞLU BİLİM ÜNİVERSİTESİ","","vakif","İSTANBUL"
"336","DİCLE ÜNİVERSİTESİ","","devlet","DİYARBAKIR"
"131","DOĞU AKDENİZ ÜNİVERSİTESİ","","kktc","YURTDIŞI"
"181","DOĞUŞ ÜNİVERSİTESİ","","vakif","İSTANBUL"
"239","DOKUZ EYLÜL ÜNİVERSİTESİ","","devlet","İZMİR"
"115","DÜZCE ÜNİVERSİTESİ","","devlet","DÜZCE"
"377","EGE ÜNİVERSİTESİ","","devlet","İZMİR"
"267","ERCİYES ÜNİVERSİTESİ","","devlet","KAYSERİ"
"103","ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ","","devlet","ERZİNCAN"
"156","ERZURUM TEKNİK ÜNİVERSİTESİ","","devlet","ERZURUM"
"325","ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ","","devlet","ESKİŞEHİR"
"192","ESKİŞEHİR TEKNİK ÜNİVERSİTESİ","","devlet","ESKİŞEHİR"
"177","FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ","","vakif","İSTANBUL"
"144","FENERBAHÇE ÜNİVERSİTESİ","","vakif","İSTANBUL"
"159","FIRAT ÜNİVERSİTESİ","","devlet","ELAZIĞ"
"241","GALATASARAY ÜNİVERSİTESİ","","devlet","İSTANBUL"
"161","GAZİ ÜNİVERSİTESİ","","devlet","ANKARA"
"375","GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ","","devlet","GAZİANTEP"
"120","GAZİANTEP ÜNİVERSİTESİ","","devlet","GAZİANTEP"
"237","GEBZE TEKNİK ÜNİVERSİTESİ","","devlet","KOCAELİ"
"242","GİRESUN ÜNİVERSİTESİ","","devlet","GİRESUN"
"172","GİRNE AMERİKAN ÜNİVERSİTESİ","","kktc","YURTDIŞI"
"349","GİRNE ÜNİVERSİTESİ","","kktc","YURTDIŞI"
"218","GÜMÜŞHANE ÜNİVERSİTESİ","","devlet","GÜMÜŞHANE"
"275","HACETTEPE ÜNİVERSİTESİ","","devlet","ANKARA"
"117","HAKKARİ ÜNİVERSİTESİ","","devlet","HAKKARİ"
"268","HALİÇ ÜNİVERSİTESİ","","vakif","İSTANBUL"
"266","HARRAN ÜNİVERSİTESİ","","devlet","ŞANLIURFA"
"256","HASAN KALYONCU ÜNİVERSİTESİ","","vakif","GAZİANTEP"
"392","HATAY MUSTAFA KEMAL ÜNİVERSİTESİ","","devlet","HATAY"
"251","HİTİT ÜNİVERSİTESİ","","devlet","ÇORUM"
"182","HOCA AHMET YESEVİ ULUSLARARASI TÜRK-KAZAK ÜNİVERSİTESİ","","yurt_disi","YURTDIŞI"
"135","İBN HALDUN ÜNİVERSİTESİ","","vakif","İSTANBUL"
"119","IĞDIR ÜNİVERSİTESİ","","devlet","IĞDIR"
"143","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","","vakif","ANKARA"
"231","İNÖNÜ ÜNİVERSİTESİ","","devlet","MALATYA"
"265","İSKENDERUN TEKNİK ÜNİVERSİTESİ","","devlet","HATAY"
"386","ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ","","devlet","ISPARTA"
"298","İSTANBUL 29 MAYIS ÜNİVERSİTESİ","","vakif","İSTANBUL"
"193","İSTANBUL AREL ÜNİVERSİTESİ","","vakif","İSTANBUL"
"166","İSTANBUL ATLAS ÜNİVERSİTESİ","","vakif","İSTANBUL"
"163","İSTANBUL AYDIN ÜNİVERSİTESİ","","vakif","İSTANBUL"
"320","İSTANBUL BEYKENT ÜNİVERSİTESİ","BEYKENT ÜNİVERSİTESİ","vakif","İSTANBUL"
"211","İSTANBUL BİLGİ ÜNİVERSİTESİ","","vakif","İSTANBUL"
"257","İSTANBUL ESENYURT ÜNİVERSİTESİ","","vakif","İSTANBUL"
"178","İSTANBUL GALATA ÜNİVERSİTESİ","","vakif","İSTANBUL"
"225","İSTANBUL GEDİK ÜNİVERSİTESİ","","vakif","İSTANBUL"
"185","İSTANBUL GELİŞİM ÜNİVERSİTESİ","","vakif","İSTANBUL"
"249","İSTANBUL KENT ÜNİVERSİTESİ","","vakif","İSTANBUL"
"281","İSTANBUL KÜLTÜR ÜNİVERSİTESİ","","vakif","İSTANBUL"
"247","İSTANBUL MEDENİYET ÜNİVERSİTESİ","","devlet","İSTANBUL"
"248","İSTANBUL MEDİPOL ÜNİVERSİTESİ","","vakif","İSTANBUL"
"284","İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ","NİŞANTAŞI ÜNİVERSİTESİ","vakif","İSTANBUL"
"194","İSTANBUL OKAN ÜNİVERSİTESİ","","vakif","İSTANBUL"
"292","İSTANBUL RUMELİ ÜNİVERSİTESİ","","vakif","İSTANBUL"
"286","İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ","","vakif","İSTANBUL"
"186","İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU","FARUK SARAÇ TASARIM MESLEK YÜKSEKOKULU","vakif","İSTANBUL"
"133","İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ","","vakif","İSTANBUL"
"388","İSTANBUL ŞEHİR ÜNİVERSİTESİ","","vakif","İSTANBUL"
"252","İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU","","vakif","İSTANBUL"
"112","İSTANBUL TEKNİK ÜNİVERSİTESİ","","devlet","İSTANBUL"
"123","İSTANBUL TİCARET ÜNİVERSİTESİ","","vakif","İSTANBUL"
"353","İSTANBUL TOPKAPI ÜNİVERSİTESİ","İSTANBUL AYVANSARAY ÜNİVERSİTESİ","vakif","İSTANBUL"
"322","İSTANBUL ÜNİVERSİTESİ","","devlet","İSTANBUL"
