program_code,year,placed_count,placed_pref_rank_avg,placed_top_1_pref_count,placed_top_3_pref_count,placed_top_10_pref_count,placed_rank_1_count,placed_rank_2_count,placed_rank_3_count,placed_rank_4_count,placed_rank_5_count,placed_rank_6_count,placed_rank_7_count,placed_rank_8_count,placed_rank_9_count,placed_rank_10_count,placed_rank_11_count,placed_rank_12_count,placed_rank_13_count,placed_rank_14_count,placed_rank_15_count,placed_rank_16_count,placed_rank_17_count,placed_rank_18_count,placed_rank_19_count,placed_rank_20_count,placed_rank_21_count,placed_rank_22_count,placed_rank_23_count,placed_rank_24_count
109590048,2024,31,9.0,3,6,21,3,1,2,3,5,1,2,2,1,1,1,0,0,2,0,1,0,1,3,0,1,0,0,1
107990171,2024,32,8.0,6,10,22,6,2,2,1,6,1,1,2,1,0,0,2,0,1,1,2,1,0,0,1,0,0,1,1
108911647,2024,32,7.3,2,8,26,2,2,4,1,5,3,1,4,2,2,1,0,1,1,1,0,0,0,2,0,0,0,0,0
104710336,2024,31,9.5,1,7,22,1,1,5,2,1,2,0,2,5,3,0,0,2,0,0,3,0,1,0,0,0,1,1,1
300290442,2024,1,3.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300211622,2024,5,6.2,1,1,4,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
101890037,2024,31,8.0,3,10,20,3,3,4,3,3,1,1,1,0,1,3,2,2,0,0,0,0,0,0,2,0,1,1,0
100890057,2024,32,7.8,7,11,23,7,4,0,5,1,2,2,2,0,0,0,1,0,1,0,0,1,0,1,1,2,1,1,0
112190221,2024,32,8.5,3,6,22,3,1,2,2,3,5,5,1,0,0,2,0,2,0,0,1,0,2,0,0,2,0,1,0
104390077,2024,32,4.5,8,20,28,8,6,6,3,4,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
111570357,2024,40,7.8,9,14,28,9,1,4,3,4,1,2,1,3,0,1,2,1,1,1,1,0,1,0,0,0,1,1,2
111091394,2024,32,6.5,4,14,26,4,3,7,3,2,1,1,4,1,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1
107710442,2024,40,6.8,9,17,31,9,5,3,1,3,4,2,1,3,0,1,0,0,0,1,0,2,3,2,0,0,0,0,0
104790017,2024,32,8.4,4,11,22,4,5,2,1,2,2,2,1,2,1,1,1,1,1,0,1,0,0,2,0,0,2,0,1
101890037,2023,41,5.9,5,20,35,5,9,6,2,4,2,3,1,1,2,1,0,0,1,1,0,0,0,1,1,0,0,0,1
107710442,2023,40,5.6,6,19,34,6,7,6,2,3,2,3,2,1,2,1,2,0,1,0,0,1,0,0,1,0,0,0,0
111091394,2023,42,5.3,9,19,37,9,5,5,4,3,2,2,3,3,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
100890057,2023,64,7.1,9,25,49,9,11,5,5,4,4,3,2,3,3,2,1,0,1,2,4,0,0,1,0,1,0,3,0
103730146,2023,42,6.1,9,22,33,9,5,8,5,2,1,0,0,2,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0
104710336,2023,31,8.2,2,7,24,2,3,2,2,3,1,1,4,5,1,0,2,0,0,0,0,1,1,2,0,1,0,0,0
112190221,2023,32,6.5,6,14,25,6,6,2,2,1,1,2,2,1,2,0,1,2,0,2,1,0,0,0,0,0,0,1,0
109490337,2023,27,4.2,9,15,24,9,4,2,4,0,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
104790017,2023,42,6.9,7,17,30,7,8,2,2,4,3,2,1,1,0,0,2,2,2,0,1,4,0,0,1,0,0,0,0
