program_code,year,placed_pref_uni_devlet_count,placed_pref_uni_vakif_count,placed_pref_uni_kktc_count,placed_pref_uni_yurt_disi_count
208910011,2022,53,36,0,0
300250474,2022,38,12,38,0
300250492,2022,49,20,55,0
109490179,2022,850,80,0,0
206250457,2022,31,73,0,0
300850105,2022,154,92,119,1
300850089,2022,33,5,11,0
300150493,2022,45,43,37,0
300150509,2022,78,19,61,0
206290197,2022,127,360,0,0
301390109,2022,95,68,88,1
200690543,2022,93,109,3,0
101370265,2022,798,13,2,0
205052979,2022,108,699,11,0
104790037,2022,1177,34,0,0
205550448,2022,10,18,0,0
205052485,2022,109,701,0,0
200751247,2022,18,99,0,0
103670149,2022,853,9,0,0
204590392,2022,88,507,0,0
101451503,2022,574,18,0,0
206850715,2022,195,372,0,0
300350491,2022,67,46,140,0
204050023,2022,43,22,0,0
206850672,2022,26,105,0,0
108970185,2022,1051,56,0,0
102551305,2022,1481,77,13,0
208150152,2022,15,8,0,0
105651058,2022,614,335,0,0
200690346,2022,7,13,0,0
104251232,2022,755,35,0,0
205850206,2022,28,54,0,0
109252993,2022,1197,9,1,0
208150188,2022,120,315,5,0
207451123,2022,127,213,2,0
103150017,2022,784,78,0,0
202456331,2022,82,455,0,0
201790264,2022,113,291,0,0
208750165,2022,38,91,0,0
209210138,2022,145,264,2,0
204751862,2022,8,54,0,0
206850681,2022,151,719,0,0
300350331,2022,114,26,126,0
204190560,2022,45,175,0,0
204050014,2022,151,212,2,0
102690216,2022,580,0,0,0
106490148,2022,1124,5,0,0
300250508,2022,59,2,48,0
204590389,2022,0,19,0,0
200290135,2022,27,45,0,0
203051121,2022,130,659,3,0
204551776,2022,10,91,0,0
110670134,2022,412,37,0,0
103550967,2022,746,12,0,0
107390118,2022,914,6,5,0
203150325,2022,134,558,0,0
200690734,2022,144,365,0,0
208910010,2022,340,438,1,0
107790206,2022,461,9,3,0
105350875,2022,628,5,0,0
107050254,2022,835,22,0,0
203150988,2022,110,430,2,0
111750659,2022,654,50,0,0
101150853,2022,642,51,0,0
200690347,2022,0,32,0,0
209210080,2022,14,17,0,0
103390114,2022,1229,57,0,0
203150979,2022,6,27,0,0
